Scenario_ID,Original_Object,Target_Object,Prompt,Optimal_Force,Optimal_Sens,Score,CLIP_Val,SSIM_Val,Path_Ref,Path_Best
Furn_Clock_Painting,round wall clock,framed painting,A round wall clock hanging on a wall,1.4,0.15,0.7839769453034968,32.280303955078125,0.3459271655048358,final_training_dataset/Furn_Clock_Painting/reference.png,final_training_dataset/Furn_Clock_Painting/best_F1.4_S0.15.png
Furn_Pillow_Cushion,white pillow,decorative cushion,A white pillow on a bed,1.0,0.1,0.8558102144167401,31.58655166625977,0.5601979527288619,final_training_dataset/Furn_Pillow_Cushion/reference.png,final_training_dataset/Furn_Pillow_Cushion/best_F1.0_S0.1.png
Food_Banana_Cucumber,yellow banana,green cucumber,A yellow banana on a white plate,0.8,0.1,0.8632891003247508,30.949552536010746,0.6107451240113402,final_training_dataset/Food_Banana_Cucumber/reference.png,final_training_dataset/Food_Banana_Cucumber/best_F0.8_S0.1.png
Food_Donut_Bagel,pink donut,plain bagel,A pink donut with sprinkles,1.2,0.15,0.8359511874492215,30.9677677154541,0.5414895828503484,final_training_dataset/Food_Donut_Bagel/reference.png,final_training_dataset/Food_Donut_Bagel/best_F1.2_S0.15.png
Food_Mushroom_Flower,red mushroom,red tulip,A red mushroom growing in grass,1.0,0.2,0.873725152217722,34.36922836303711,0.4658514623924492,final_training_dataset/Food_Mushroom_Flower/reference.png,final_training_dataset/Food_Mushroom_Flower/best_F1.0_S0.2.png
Food_Egg_Ball,white egg,ping pong ball,A white egg sitting on a table,0.8,0.1,0.925317236519137,34.298370361328125,0.5983745732314364,final_training_dataset/Food_Egg_Ball/reference.png,final_training_dataset/Food_Egg_Ball/best_F0.8_S0.1.png
Food_Burger_Taco,cheeseburger,mexican taco,A cheeseburger on a fast food tray,0.8,0.1,0.7368958335110803,29.769914627075195,0.353743852423941,final_training_dataset/Food_Burger_Taco/reference.png,final_training_dataset/Food_Burger_Taco/best_F0.8_S0.1.png
Veh_Tractor_Tank,green tractor,military tank,A green tractor in a field,0.8,0.2,0.7605690170907573,29.52322578430176,0.4252612535118056,final_training_dataset/Veh_Tractor_Tank/reference.png,final_training_dataset/Veh_Tractor_Tank/best_F0.8_S0.2.png
Veh_Helicopter_Drone,helicopter,quadcopter drone,A helicopter flying in the sky,1.0,0.2,0.8926194971336819,31.555971145629883,0.6537501855527108,final_training_dataset/Veh_Helicopter_Drone/reference.png,final_training_dataset/Veh_Helicopter_Drone/best_F1.0_S0.2.png
Veh_Scooter_Skateboard,scooter,skateboard,A scooter parked on pavement,1.4,0.1,0.7743785079876085,31.84014129638672,0.3439392051496853,final_training_dataset/Veh_Scooter_Skateboard/reference.png,final_training_dataset/Veh_Scooter_Skateboard/best_F1.4_S0.1.png
OOD_Fish_Bird,goldfish,small bird,A goldfish swimming in a bowl,0.8,0.15,0.8461735412898534,30.90561866760254,0.5701529198445067,final_training_dataset/OOD_Fish_Bird/reference.png,final_training_dataset/OOD_Fish_Bird/best_F0.8_S0.15.png
OOD_Car_Boat,car,small boat,A car parked in a garage,0.8,0.1,0.7684830575124911,31.096948623657227,0.3663602125983666,final_training_dataset/OOD_Car_Boat/reference.png,final_training_dataset/OOD_Car_Boat/best_F0.8_S0.1.png
OOD_Tree_Lamp,large oak tree,giant street lamp,A large oak tree in a park,0.8,0.15,0.7431340027981129,31.85149383544922,0.2652603152228215,final_training_dataset/OOD_Tree_Lamp/reference.png,final_training_dataset/OOD_Tree_Lamp/best_F0.8_S0.15.png
Sport_Soccer_Basket,soccer ball,basketball,A soccer ball on a grass field,1.0,0.2,0.7849540331402978,28.473064422607425,0.5387318617203734,final_training_dataset/Sport_Soccer_Basket/reference.png,final_training_dataset/Sport_Soccer_Basket/best_F1.0_S0.2.png
Sport_Tennis_Baseball,tennis ball,baseball,A tennis ball lying on the court,0.8,0.1,0.7910150282244941,30.79529571533203,0.4377727847946335,final_training_dataset/Sport_Tennis_Baseball/reference.png,final_training_dataset/Sport_Tennis_Baseball/best_F0.8_S0.1.png
Toy_Teddy_Robot,brown teddy bear,toy robot,A brown teddy bear sitting on a bed,1.2,0.1,0.8660157493904919,33.22285079956055,0.5038968334982022,final_training_dataset/Toy_Teddy_Robot/reference.png,final_training_dataset/Toy_Teddy_Robot/best_F1.2_S0.1.png
Music_Guitar_Electric,acoustic guitar,electric guitar,An acoustic guitar leaning against a wall,0.8,0.1,0.7515891010847406,30.377599716186523,0.3600927669025256,final_training_dataset/Music_Guitar_Electric/reference.png,final_training_dataset/Music_Guitar_Electric/best_F0.8_S0.1.png
Music_Violin_Cello,violin,cello,A violin resting on a chair,1.2,0.2,0.9128440025143782,34.02437210083008,0.5808914012444418,final_training_dataset/Music_Violin_Cello/reference.png,final_training_dataset/Music_Violin_Cello/best_F1.2_S0.2.png
Kit_Mug_Glass,white ceramic mug,transparent glass cup,A white ceramic mug on a table,0.8,0.2,0.8709502957876732,28.960689544677734,0.7293412622352965,final_training_dataset/Kit_Mug_Glass/reference.png,final_training_dataset/Kit_Mug_Glass/best_F0.8_S0.2.png
Kit_Bowl_Pot,wooden bowl,cooking pot,A wooden bowl on a kitchen counter,0.8,0.2,0.7695461846675452,29.94479751586914,0.426625585875406,final_training_dataset/Kit_Bowl_Pot/reference.png,final_training_dataset/Kit_Bowl_Pot/best_F0.8_S0.2.png
Nat_Rock_Bush,large gray rock,green bush,A large gray rock in a garden,0.8,0.1,0.822746757887719,32.23920822143555,0.4449064836475204,final_training_dataset/Nat_Rock_Bush/reference.png,final_training_dataset/Nat_Rock_Bush/best_F0.8_S0.1.png
Nat_Mushroom_Stump,red mushroom,tree stump,A red mushroom growing in the forest,1.0,0.1,0.7351734276287122,28.191526412963867,0.4283572484235869,final_training_dataset/Nat_Mushroom_Stump/reference.png,final_training_dataset/Nat_Mushroom_Stump/best_F1.0_S0.1.png
Acc_Wallet_Phone,leather wallet,smartphone,A leather wallet on a table,1.0,0.2,0.808350628117426,26.80759620666504,0.6804967599603127,final_training_dataset/Acc_Wallet_Phone/reference.png,final_training_dataset/Acc_Wallet_Phone/best_F1.0_S0.2.png
